Pond ID,Easting,Northing
1,425555,5785305
2,425676,5785502
3,425523,5785470
4,425546,5785049
5,425502,5784963
6,425444,5784926
7,425464,5784983
8,425389,5785038
9,425382,5785085
10,425343,5785058
11,425336,5785255
12,425242,5785323
13,425210,5785440
14,425256,5785602
15,425197,5785540
16,425153,5785555
17,424989,5785477
18,425153,5785196
19,425051,5785088
20,424918,5785179
24,424705,5784967
25,424628,5785159
26,424779,5785089
27,424697,5785269
28,424844,5785282
29,424659,5785489
30,424779,5785674
31,424630,5785674
32,424537,5785686
33,424437,5785642
35,424479,5785132
36,424155,5784946
37,424121,5784833
38,424065,5784694
39,424220,5784848
40,424248,5784774
41,424276,5784837
42,424321,5784883
45,424377,5784908
46,424681,5784821
48,424628,5784721
49,424612,5784504
50,424364,5784477
55,424171,5784293
56,424162,5784240
57,424103,5784141
58,424271,5784232
60,424668,5784219
61,424760,5784146
62,424972,5784112
63,424999,5784172
65,424922,5784456
66,425131,5784467
67,425017,5784874
68,425237,5784131
69,425287,5784795
70,425375,5784794
71,425360,5784690
73,425124,5784623
74,425198,5784720
75,425333,5784416
76,425207,5784305
78,425196,5784105
79,425336,5784219
80,425477,5784297
81,425654,5784203
84,425848,5784424
85,425793,5784239
87,425859,5784117
88,425913,5784099
89,426214,5784106
90,426194,5784355
92,426409,5784597
94,426502,5784865
95,426450,5784880
96,426449,5784937
97,426350,5784910
98,426304,5784783
99,426110,5784760
100,426161,5784859
101,426125,5784873
103,425951,5784881
105,425986,5784665
106,425821,5784622
107,425757,5784679
109,425820,5784822
110,425680,5784744
111,425635,5784693
113,425660,5784889
117,425842,5785025
118,425914,5784930
119,425979,5784945
120,426047,5785048
122,426155,5784935
124,426185,5785118
125,426152,5785264
127,426286,5785229
128,426302,5785104
129,246460,5785186
130,426371,5785175
131,426371,5785280
132,426375,5785412
133,426419,5785540
135,426268,5785491
136,426260,5785540
137,426021,5785640
139,425986,5785451
140,425873,5785284
16A,425118,5785670
20A,424859,5785205
24A,424695,5785026
26A,424729,5785193
